,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
0,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3']",1,5,0.09999999999999999,-0.19558231631465,-0.08093759542879675,-0.16100704694204104,,1.7617181459678366,0.6762251139785806,2.0,-0.2465916791033369,,0.6280972563645223,0.4442348051585019,2.0
1,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3']",1,"(5, 5)",1e-06,-1.52085189511254,0.0020818457131744905,-0.03324269072175734,0.8682821625379616,1.320943305176161,0.560031174356289,1.9993391983525053,-0.008068114451785124,0.29550522778346094,1.077939974212972,0.6352363340625105,1.9983897862928197
2,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2']",1,8,0.09999999999999999,-0.01914115010132513,0.2922946866473586,0.27583642354613436,0.6300559378494902,1.0637885847089532,0.5978364772354483,1.899193100078308,-1.4428513341116824,-0.08071179277265667,0.9132680004550146,0.7191134094601048,1.9427481343195916
3,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3']",1,"(10, 10)",1e-06,-0.13956417318929462,-0.003148708238572606,-0.02051924864097221,,1.1185792864173518,0.544846892947148,2.0,-0.007627756395820029,,0.5010527986002145,0.39642603159994266,2.0
4,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3']",1,2,1e-06,0.009455821024259592,0.19873327959986553,0.18768132483572575,0.5216605301978147,0.9434073157164475,0.5253686415681278,1.8221195623959416,0.13327084627020336,0.39605947979051825,0.8073418623489582,0.4106305636765426,1.9081726904850838
0,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3']",1,"(4, 4)",1e-06,-0.24506170318284642,-0.042301443663006255,-0.14063176853687476,,1.7617181459678366,0.6762251139785806,2.0,-0.2303023838023397,,0.6280972563645223,0.4442348051585019,2.0
1,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2']",1,5,0.09999999999999999,-1.0962615219064165,0.4411688161368853,0.4162209954287105,0.8076838769814918,1.0128065100744068,0.5455170113882717,1.8741470218932392,0.2222783189431159,0.5433071106402313,0.9286036081365227,0.5919807746038406,1.8752268805172432
2,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3']",1,2,1e-06,-0.08368884308520327,0.2038946120680345,0.18061667674838644,0.62454194536257,1.1270329522282994,0.5877943875476203,1.8965699100850288,-0.43581533070216416,-0.09120174022080796,0.7098571412586699,0.5549252790098503,1.8942118937971804
3,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3']",1,8,1e-06,-0.2537999095995994,0.04050739137525172,0.019648856405148463,0.34199454681345065,1.0994610392984767,0.5495807354150175,1.9141401063923769,0.05720254436124894,0.18762400998301473,0.4984336651147879,0.3987147029576785,1.9245236480179586
4,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3']",1,2,0.09999999999999999,0.08419518341248836,-0.03408775565532274,-0.051978547275657094,,1.0252738548303,0.5151627206777071,2.0,-0.09521956661601072,,0.8625935387000557,0.3831237352137729,2.0
0,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3']",1,8,0.09999999999999999,-1.1028995236410712,-0.12223051790733064,-0.2517186545889456,,1.7617181459678366,0.6762251139785806,2.0,-0.262528082695743,,0.6280972563645223,0.4442348051585019,2.0
1,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2']",1,8,0.09999999999999999,-1.3339467081407417,-0.008495636139046914,-0.06300891376818463,0.03716393109554415,1.3218041860117744,0.5644303503303748,1.9976590132665368,-0.029262458630295862,-0.16115026470050345,1.0833667874599346,0.6544063363271064,1.9920277269614814
2,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2']",1,6,0.001,0.0026145757172391093,0.27988004123057697,0.25446404268577383,0.6462901256427104,1.0733903674733598,0.5893657259863179,1.888858964648225,-1.1519610527159352,-0.051356942858706026,0.8628999190903394,0.6804240771937464,1.9240579839939072
3,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2']",1,"(6, 6)",0.09999999999999999,-0.9155283840597196,0.0003159592578932946,-0.025876635696048256,0.03347716122005616,1.118386369211189,0.5616309309014871,1.910380761682695,-0.0679912326878176,-0.020040711436192984,0.5088001505677645,0.41603540909623843,1.9193375713812872
4,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2']",1,6,1e-06,0.08844263558780581,0.22670027314007823,0.2105898621638299,0.5680577702118913,0.9311154318939477,0.5160993452905834,1.8216927130768454,0.14119910879663278,0.4433044243369107,0.7980607220374984,0.38691707036483936,1.8788524592706273
0,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2']",1,2,1e-06,-0.4836203169567332,-0.062344723478111375,-0.2081567443476562,,1.7617181459678366,0.6762251139785806,2.0,-0.3000303456060103,,0.6280972563645223,0.4442348051585019,2.0
1,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2']",1,"(5, 5)",1e-06,-1.0299375527051449,0.01192894938195066,-0.05094829929374334,0.6179357140327725,1.3141354129280645,0.5700571820494138,1.9398596350957311,0.005320923955892121,0.30248772332112156,1.0709611151223843,0.6462296771158992,1.9329826209350025
