,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
0,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3']",1,1.7699331045150757,1.3404582972828865,0.6324429069330242,1.9388978933981482,0.33003124594688416,0.5976694873556093,0.4327966915212333,1.8968439950289682
1,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3']",1,0.6434884667396545,0.8338088439777621,0.5362182329766896,1.9333244884504535,0.9654468894004822,0.918000403382117,0.6035357713916195,1.901244964444807
2,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2']",1,0.7995541095733643,0.8862966911026071,0.566371718390761,1.9046653808222922,1.0540016889572144,1.0481779512656983,0.7832067361696977,1.9435986949785538
3,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3']",1,0.8956552743911743,0.9532215186978109,0.5656019023341275,1.8823501962500138,0.24427111446857452,0.507431636415815,0.41201677751985505,1.9442141778653412
4,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3']",1,0.531860888004303,0.7663950408675279,0.5273811518016848,1.8092350313887062,0.724712610244751,0.8491684735927097,0.44504478009777265,1.9309272544122027
0,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3']",1,2.0992918014526367,1.4584456800066612,0.6564255180074365,1.9554341513435975,0.3459088206291199,0.6109885443814628,0.43993131102165817,1.977019207207694
1,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2']",1,0.4955805838108063,0.7343068023794682,0.48744698036175427,1.949194034170842,1.0179998874664307,0.9741620436649033,0.6122399032711633,1.9221596895232633
2,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3']",1,0.7649729251861572,0.8660820806107408,0.562458433817899,1.8954246289606616,1.1575084924697876,1.0971586243672466,0.8069983315160395,1.9415045240871414
3,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3']",1,1.116088628768921,1.067975291900413,0.5513964076657439,1.9329978578369584,0.2318297177553177,0.503368540505592,0.4032104896290108,1.9880949519899918
4,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3']",1,0.5750107169151306,0.7929293549719004,0.519969231044471,1.8097508592034768,0.6005390882492065,0.773235910285746,0.4128885531622445,1.9067964780126914
0,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3']",1,1.8816665410995483,1.3822507065512661,0.6333548467275061,1.9444298430980977,0.37976670265197754,0.623431182444706,0.438980089828298,1.8848850289071608
1,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2']",1,0.5471289157867432,0.7713841480609092,0.5105131522644755,1.9564751667837696,1.0299403667449951,0.9384506360640759,0.6071879481797909,1.9241804513167249
2,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2']",1,0.7943992614746094,0.8908361463867587,0.5612907664461546,1.9265913867248925,0.985690176486969,1.015465196475442,0.758864656349176,1.9563559197405889
3,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2']",1,0.8461480736732483,0.9323034135232431,0.5537128527458429,1.8003369906850624,0.22476887702941895,0.4987681836637824,0.40349200537677987,1.8350070023492089
4,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2']",1,0.47023001313209534,0.726198193252149,0.4960269330271669,1.7807243089251088,0.500543475151062,0.6888126620471503,0.3802194325947686,1.8831230965994792
0,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2']",1,2.08122181892395,1.4550499890036375,0.6556170781269532,1.9559661726975466,0.41018861532211304,0.6256961489920165,0.4427194125534132,1.9070780650449868
1,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2']",1,0.5130372643470764,0.7476582437502242,0.5002203945041841,1.9558896587975823,0.9644187688827515,0.9277250294797539,0.5857273353701582,1.9146143853430366
