,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
0,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3']",1,5,0.09999999999999999,-0.41863679546210336,-0.11965933228141634,-0.2025970605985583,,8.519626360572248,3.6122378626831373,0.9281100968497558,-0.2522673810543601,,3.087444340204991,2.3286986498132722,0.7924321212676583
1,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3']",1,"(5, 5)",1e-06,-1.5241188333767395,0.002995925518589626,-0.032296254109071,-1.2345029708100027e-17,6.401995568300206,2.809767308244757,0.8229845162561825,-0.00809488929252078,3.1845469161338976e-17,5.209426741495381,3.1659293306521117,0.9352248903800245
2,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2']",1,10,1e-06,-0.08054914180670603,0.0518934111850029,0.029844420747444755,0.6466709432952947,5.907234626089005,2.9656311386927827,0.8717227405336571,-0.138609016958392,-0.017478413043268616,2.995439711562352,2.3097639313432925,0.8797927635599214
3,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3']",1,"(10, 10)",1e-06,-0.13907501909690168,-0.0037598896827268913,-0.021141013313596746,,5.416540837451567,2.6622450445274346,0.8398570562746374,-0.00654843350486467,1.894246715321387e-17,2.4348872350598962,1.9442617064062053,0.7337411727508283
4,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3']",1,2,1e-06,0.005155807648482091,0.2044455088872783,0.1934723434926201,0.5243981894721002,4.5453351873041985,2.518996925932405,0.8147535126926323,0.1323778195152845,0.39434853425338773,3.9020970654610143,1.9727334775548162,0.5545547838752247
0,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3']",1,"(4, 4)",0.09999999999999999,-0.22924033475995437,-0.034039421765537536,-0.13159031061134296,,8.519626360572248,3.6122378626831373,0.9281100968497558,-0.21925636130854476,,3.087444340204991,2.3286986498132722,0.7924321212676583
1,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2']",1,5,0.09999999999999999,-0.9672982707532489,0.4421344595983575,0.41722974797328416,0.818667236251383,4.930811676007744,2.728617289165128,0.8248838878173732,0.24006318261613646,0.5679192143127249,4.481557403930176,2.9298205692259485,0.8959891821835049
2,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3']",1,2,0.09999999999999999,-0.10639100708738969,0.18383234860982023,0.1599677973995811,0.6384243098994253,5.547778699463523,2.9790609225317155,0.8792307570554996,-0.4266012846751155,-0.129961829360955,3.4230547072053867,2.7463289081809514,0.9436661347262004
3,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3']",1,8,1e-06,-0.24858836099183518,0.034339624810251324,0.013347007958300239,0.310034967907181,5.34260232501826,2.6739534726033023,0.8419072083053243,0.05765729725484625,0.1630477118224795,2.42631347738859,1.949311187436707,0.7342398546454169
4,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3']",1,2,0.01,0.062102991324377445,-0.03787600548559533,-0.055832337760432615,,4.9645831657619865,2.4656202240735423,0.8048996647013298,-0.09846498847008878,,4.181085286631679,1.8338465958058028,0.5268812840406335
0,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3']",1,6,0.09999999999999999,-0.675778001509202,-0.01967961804922136,-0.1373349585933623,,8.519626360572248,3.6122378626831373,0.9281100968497558,-0.14287268841563439,,3.087444340204991,2.3286986498132722,0.7924321212676583
1,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2']",1,8,0.09999999999999999,-1.3837661336740883,-0.0179380582180948,-0.07296173704069453,0.054572406757686084,6.397577979779343,2.827606799500095,0.8281431051805078,-0.056912635559304814,-0.17265560326021562,5.248879243514509,3.2680100882590897,0.9539493445299305
2,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2']",1,6,1e-06,-0.00022813064625069047,0.27776863935047136,0.25227812073931144,0.6430699399250924,5.243190718288138,2.9899095286195423,0.8805536641358964,-1.4762360073232292,-0.04721319716160965,4.488269495223571,3.5805750714053977,1.0211930914070204
3,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2']",1,"(10, 10)",0.09999999999999999,-0.9616624377963634,-0.019275337262755654,-0.04598124129584091,,5.416540837451567,2.6622450445274346,0.8398570562746374,-0.022925449778320228,1.894246715321387e-17,2.4348872350598962,1.9442617064062053,0.7337411727508283
4,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2']",1,6,1e-06,0.085287214957479,0.22585570333215,0.2097276971515698,0.5696829365691555,4.500308170138072,2.4689963433258835,0.8062754855677802,0.14108365769854847,0.4432146738023915,3.8614726172648415,1.8475636644794042,0.5332217579685012
0,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2']",1,2,0.09999999999999999,-0.46824000332786253,-0.06426078919193157,-0.21033579947317715,,8.519626360572248,3.6122378626831373,0.9281100968497558,-0.305837516920509,,3.087444340204991,2.3286986498132722,0.7924321212676583
1,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2']",1,"(5, 5)",1e-06,-1.0433499433344615,0.017191712615246657,-0.045350632945601266,0.7727196609458603,6.359242671236937,2.806181774623961,0.8233119728958044,0.009217681641829123,0.3323403541737538,5.180862701839113,3.1678822624688654,0.9354697479838316
2,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3']",1,6,1e-06,-0.07214479280819108,0.33673198121205095,0.3092593413805974,0.6760544715957962,5.050583062384452,2.9813122677044004,0.8808090660340905,-1.3820462364643973,-0.0751871139466473,4.437371324499392,3.5487038038041407,1.0167465438640315
