,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
0,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3']",1,0.7234197854995728,7.30227436843007,3.5046606233564472,0.9371502232227742,0.11287251859903336,3.0775227842117188,2.3305545798802783,0.7928810561246986
1,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3']",1,0.2812168002128601,3.6006851762577727,2.4134460736129246,0.8158136972230874,0.6622746586799622,4.9044742221331195,3.1341657040482858,0.9127976860660765
2,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2']",1,0.4765620231628418,4.188555142385243,2.813086723069013,0.8732445171877128,0.6147798299789429,4.864318747057349,3.7032928491042836,1.017365599338059
3,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3']",1,0.7785789966583252,4.8047186538780675,2.7392446788690856,0.8650185031807403,0.1949482560157776,2.4518377073990374,2.0019614736912614,0.7455719283302306
4,Chla,4,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3']",1,0.512699544429779,3.7066620232166345,2.4864828690027787,0.8169957399199027,0.6627795696258545,4.0429785311445645,2.0980732263144803,0.5693345191848028
0,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3']",1,0.5919252634048462,6.656951211303326,3.4761572853993563,0.9453301770022349,0.10969613492488861,3.0408604092668132,2.314933099585065,0.7899392580914327
1,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2']",1,0.28839802742004395,3.647904167823677,2.454814358080848,0.8190902539252063,0.635230541229248,4.700046806971057,3.0515287536685745,0.9077573457495521
2,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3']",1,0.5124884843826294,4.307343595102675,2.810327449087369,0.8734924011125957,0.5758734345436096,4.706622810478475,3.5748764563415016,1.0053046540319708
3,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3']",1,0.7470670938491821,4.73202893252507,2.738410369824555,0.8618179593795939,0.18671220541000366,2.461948545261416,1.9872122659521587,0.7408042250933664
4,Chla,5,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3']",1,0.49496474862098694,3.6618647512604596,2.487352508124659,0.8132101495583024,0.5801376700401306,3.7957741221262227,2.0504827361995894,0.5595768989319586
0,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3']",1,0.687328040599823,7.23580788974272,3.5356860605336853,0.9430272627530243,0.1194646954536438,3.087444347541634,2.328698669045659,0.7924321252030437
1,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2']",1,0.2229686975479126,3.21409123751677,2.322832019450301,0.8074820469191408,0.7433809041976929,4.92875202711806,3.140805039163363,0.915335993515877
2,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2']",1,0.47234439849853516,4.1492799770499795,2.7369529155688097,0.8671519454784611,0.4915692210197449,4.290998101389975,3.2756573846784693,0.981438099134638
