,Water Control Zone,Station,Dates,Sample No,Depth,5-day Biochemical Oxygen Demand mg_L,Ammonia Nitrogen mg_L,Chlorophyll-a ug_L,Dissolved Oxygen per_saturation,Dissolved Oxygen mg_L,E. coli cfu_100mL,Faecal Coliforms cfu_100mL,Nitrate Nitrogen mg_L,Nitrite Nitrogen mg_L,Orthophosphate Phosphorus mg_L,pH,Phaeo-pigments ug_L,Salinity psu,Secchi Disc Depth M,Silica mg_L,Suspended Solids mg_L,Temperature C,Total Inorganic Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Nitrogen mg_L,Total Phosphorus mg_L,Turbidity NTU,Unionised Ammonia mg_L,Volatile Suspended Solids mg_L,Image_date,Date_compare,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,n
1592,Mirs Bay,MM7,2015-10-26,1,Surface Water,0.7,0.04,1.9,85,5.7,1,1.0,0.01,0.01,0.01,8.0,0.5,32.9,3.0,0.65,3.9,27.0,0.05,0.29,0.31,0.03,3.7,0.0,1.3,2015-10-23,3 days,0.04388652477134682,0.03862101539652802,0.031047479257256233,0.015032350738727622,0.012916378555724813,0.013592793850546705,0.012846479670797302,0.008499608199398372,0.010227273595254069,-0.0012391230060937695,-0.000534772150595851,54
1250,Mirs Bay,MM2,2015-10-26,1,Surface Water,0.7,0.03,3.2,67,4.4,1,2.0,0.01,0.0,0.01,8.0,0.6,32.8,3.0,0.43,4.2,27.0,0.04,0.29,0.3,0.04,3.3,0.0,1.1,2015-10-23,3 days,0.048932818596135894,0.04644771304227464,0.04436242926106747,0.022795185391969106,0.01862884394963676,0.017462568746195135,0.016766443109468718,0.011231493456127277,0.011829207370325605,-0.0006944440954478203,-0.00012791232444279795,54
773,Mirs Bay,MM1,2015-10-26,1,Surface Water,0.7,0.04,2.8,68,4.5,1,1.0,0.01,0.01,0.01,8.0,0.4,32.8,2.5,0.48,5.0,27.0,0.06,0.34,0.36,0.04,4.8,0.0,1.1,2015-10-23,3 days,0.05359493318010888,0.05029587483987482,0.05492429993117341,0.031715176697509534,0.028549214188805048,0.028781845997941046,0.029101741111731992,0.02305336074506833,0.023453580888895573,0.0013336179407980914,0.0008044825791294221,54
1524,Mirs Bay,MM6,2015-10-26,1,Surface Water,0.8,0.02,3.4,71,4.7,1,1.0,0.0,0.0,0.01,7.8,0.3,32.8,3.8,0.34,2.3,26.7,0.03,0.26,0.26,0.02,2.7,0.0,0.7,2015-10-23,3 days,0.037958172331135166,0.03319651244681224,0.030807848810850257,0.013599346500027327,0.01125855113814627,0.013413676574926071,0.014627120112407034,0.009104799154920178,0.01177569881702057,0.001966748754831548,0.0036477960959700587,54
1115,Mirs Bay,MM17,2015-10-26,1,Surface Water,0.9,0.03,1.6,65,4.3,1,1.0,0.01,0.0,0.01,8.0,0.8,32.9,5.0,0.4,1.2,26.7,0.04,0.3,0.31,0.03,2.5,0.0,0.9,2015-10-23,3 days,0.03553142067026799,0.031095491984453855,0.027109945983367446,0.013623198925201698,0.011278779443086124,0.011934374133654602,0.01378472220294953,0.0063796203308527045,0.01128943010752754,0.005936846496360983,0.006492182044638768,54
1456,Mirs Bay,MM5,2015-10-26,1,Surface Water,0.6,0.02,2.9,82,5.4,1,1.0,0.01,0.01,0.01,8.0,0.7,32.9,5.0,0.4,1.0,26.7,0.04,0.28,0.29,0.03,2.4,0.0,0.8,2015-10-23,3 days,0.03548373964721702,0.03195467498486939,0.027557114981993397,0.012535658090271158,0.010417366332501874,0.009424509685608227,0.011335990151888376,0.004580237971923474,0.009624329254283656,0.004745351602533794,0.006410493825054537,54
1388,Mirs Bay,MM4,2015-10-26,1,Surface Water,0.6,0.03,1.7,95,6.3,1,1.0,0.0,0.0,0.01,8.1,0.2,33.0,4.0,0.32,1.6,27.0,0.03,0.29,0.29,0.04,3.3,0.0,1.0,2015-10-23,3 days,0.03976274019089381,0.03727135610720353,0.0336864575937813,0.01393004688718804,0.011824685054891053,0.011532929633673117,0.01232976602414078,0.006394731828961136,0.011883213810341142,0.004713052192740787,0.006098949946497292,54
1318,Mirs Bay,MM3,2015-10-26,1,Surface Water,0.6,0.04,1.5,87,5.8,1,1.0,0.0,0.0,0.01,8.1,0.3,33.0,3.0,0.36,3.4,27.0,0.04,0.33,0.34,0.02,4.3,0.0,1.7,2015-10-23,3 days,0.04709710692787977,0.04719676806598416,0.04742772082153233,0.020587682414782777,0.015450485529879258,0.013573203075406179,0.013363163601183567,0.009493652418805138,0.010979684336351134,0.0013401018500875464,0.0015368648295987308,54
2176,Port Shelter,PM1,2015-10-19,1,Surface Water,0.4,0.01,3.3,101,6.7,1,1.0,0.0,0.0,0.01,8.0,1.2,32.9,4.0,0.26,1.9,27.0,0.02,0.41,0.41,0.08,3.0,0.0,0.7,2015-10-23,4 days,0.04714891266579028,0.04436381635602523,0.04161676134575855,0.020309918318265605,0.01788004927738936,0.023099532707862528,0.024617566907268705,0.01976137454607478,0.020881081611896782,0.0032482924301010067,0.001986010986300323,54
2244,Port Shelter,PM11,2015-10-19,1,Surface Water,0.2,0.02,1.9,94,6.3,1,1.0,0.01,0.02,0.01,8.0,0.2,33.0,9.0,0.97,0.6,26.9,0.04,0.29,0.32,0.05,3.0,0.0,0.5,2015-10-23,4 days,0.03426955915671059,0.02707640202271927,0.021148835436325363,0.010528210509204836,0.009074077445748471,0.010448833040049173,0.009863156338670085,0.00437794374112473,0.008864520295515758,0.002360283343451797,0.004521378253222797,54
