,BOD,AmNi,Chla,DO,Ecoli,FC,NitraNi,NitriNi,OrPh,pH,Sal,SDD,Si,SS,Temp,TIN,TKN,ToNi,ToPh,Tur,UnAm,VSS,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,Image_Year,B1_2,B1_3,B2_2,B2_3,B3_2,B3_3,B4_2,B4_3,B5_2,B5_3,B6_2,B6_3,B7_2,B7_3,B8A_2,B8A_3,B11_2,B11_3,B12_2,B12_3,NR_B1B2,NR_B1B3,NR_B1B4,NR_B1B5,NR_B1B6,NR_B1B7,NR_B1B8A,NR_B1B11,NR_B1B12,NR_B2B3,NR_B2B4,NR_B2B5,NR_B2B6,NR_B2B7,NR_B2B8A,NR_B3B4,NR_B3B5,NR_B3B6,NR_B3B7,NR_B3B8A,NR_B4B5,NR_B4B6,NR_B4B7,NR_B4B8A,NR_B5B6,NR_B5B7,NR_B5B8A,NR_B6B7,NR_B6B8A,NR_B7B8A,NR_B11B2,NR_B11B3,NR_B11B4,NR_B11B5,NR_B11B6,NR_B11B7,NR_B11B8A,NR_B11B12,NR_B12B2,NR_B12B3,NR_B12B4,NR_B12B5,NR_B12B6,NR_B12B7,NR_B12B8A,TB_B1B2B3,TB_B2B3B4,TB_B3B4B5,TB_B4B5B6,TB_B5B6B7,TB_B6B7B8A,TB_B7B8AB11,TB_B8AB11B12,LH_B1B2B3,LH_B2B3B4,LH_B3B4B5,LH_B4B5B6,LH_B5B6B7,LH_B6B7B8A,LH_B7B8AB11,LH_B8AB11B12
1593,0.8,0.03,1.8,6.4,1,1.0,0.01,0.03,0.01,8.2,33.0,5.0,0.81,0.9,26.3,0.06,0.27,0.31,0.07,0.4,0.0005,0.5,0.2410332006874668,0.24012018578735977,0.21880155550802088,0.07360838401739762,0.05057764654751973,0.037752886297933226,0.045555266928049065,0.0236515261011754,-0.030048508548874454,-0.009284089280315431,2015,0.05809700383364465,0.0140033067843754,0.05765770362255618,0.013844778505920715,0.047874120692729547,0.010474932076147954,0.005418194197652678,0.00039882451918165393,0.0025580983302858342,0.00012938259318299729,0.0014252804238246743,5.380844978332301e-05,0.002075282344885801,9.454004117234024e-05,0.0005593946869145813,1.3230538038419058e-05,0.0009029128660117811,-2.713118497324374e-05,8.61943137648679e-05,-8.002357044485549e-07,0.0018975547627259654,0.04834703092776805,0.5321128064718929,0.6531154651681175,0.7291623358527908,0.6820858333408898,0.8212852975074624,1.0,1.0,0.046453737883857094,0.5307511581542842,0.6520259807836817,0.728272437378567,0.6810697839451301,0.8206666974874843,0.49653979521445774,0.6244873682780334,0.7056929824938463,0.6553501702112053,0.8048981193045945,0.185453527784985,0.32197457534325785,0.23541673041044472,0.5136428550604051,0.14519056815863746,0.05224412158013966,0.3627431033588067,-0.09365686704098512,0.22964734366487524,0.31649697765397405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5279188361453494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0034516180527495105,-0.029868093721691337,-0.45596039400803057,-0.23354582302188712,-0.3059701599352485,0.10729946235307378,0.6108624765854459,-0.7015066378149227,0.008017645983943894,0.04528609042864598,-0.023375858105432787,-0.003907805352830217,-0.010571128369054794,0.01265324853780053,-0.014407356801350414,-0.035181518831777656
774,2.0,0.03,11.0,9.0,2,6.0,0.08,0.03,0.01,8.3,32.0,2.5,0.8,2.6,26.8,0.14,0.5,0.6,0.09,1.3,0.0005,1.6,0.17790527141803752,0.17895283266941125,0.2383023140939345,0.08918184700179702,0.07614290082383676,0.06212168020824081,0.07095432965999796,0.04356990145798935,-0.025214360056115968,-0.011663976549822742,2015,0.0316502855983256,0.00563075264982852,0.032024116320406304,0.005730806329271432,0.056787992902524204,0.013532710121421446,0.007953401834651931,0.0007092990655617403,0.005797741345868641,0.0004414568443007338,0.003859103151894938,0.00023973397189263154,0.005034516897499666,0.0003572207716240214,0.0018983363130589024,8.271032609409919e-05,0.0006357639530394564,-1.6030381222636457e-05,0.00013604834895481486,-1.5868647518510618e-06,-0.002935512012687886,-0.14511278693203844,0.33218908100530725,0.40056328567998833,0.48237745980322916,0.4297641774508138,0.606548211321383,1.0,1.0,-0.14223786545210532,0.33479811629623246,0.4030248975069421,0.48462672833632775,0.4321544929034792,0.6084004483510945,0.45535169271452475,0.5157000506829246,0.5864399556198098,0.5411297956369565,0.6908535211767738,0.07886868934899141,0.17884689995357209,0.1138251063674093,0.3435882846968648,0.10140862186783041,0.03527307174154449,0.2720928651320394,-0.06637296579979012,0.17552749668216006,0.23911470904175822,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3674347802365667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007841159562358941,0.1241156523246473,-0.5342714302622857,-0.119283343963081,-0.21032558831814918,0.08730828898703305,0.22335009842317316,-0.7302998120982138,-0.023214498626978042,0.09525787569156893,-0.03169468506896325,0.0013931427786030553,-0.011693015606181101,0.015214461341843646,-0.017848959572357652,-0.037728231992731724
1525,1.0,0.03,6.2,6.5,3,4.0,0.01,0.01,0.01,8.0,33.2,2.5,0.66,1.6,25.9,0.05,0.26,0.28,0.05,1.4,0.0005,0.7,0.18170632501364598,0.20385740704120114,0.2132419528776181,0.04417994734284819,0.025129354452021364,0.023292209139378933,0.03833562401238235,0.01888815576688347,-0.03136259008413533,-0.012798002865511814,2015,0.03301718854996474,0.005999431993696724,0.041557842405561964,0.008471873995024734,0.0454721304670603,0.009696565902301774,0.001951867747216839,8.623341429224367e-05,0.000631484455175326,1.5868796705042363e-05,0.0005425270065925675,1.2636652501315295e-05,0.0014696200684187462,5.6338802383952685e-05,0.0003567624282740533,6.73858431701191e-06,0.0009836120567855038,-3.0848621738777006e-05,0.0001637888773456486,-2.096170521608574e-06,-0.057451155764837704,-0.07984748796057396,0.6088301703157657,0.757011415854946,0.7727573103328433,0.6515607666441119,0.8116782107524783,1.0,1.0,-0.02249954504423955,0.6437637592727905,0.7805169671106499,0.7949174686620467,0.6834291734521389,0.8304059975088499,0.6567506703585768,0.7891578920841306,0.8030541640094662,0.6952381489138503,0.8372623363924758,0.2748634367607639,0.3095756722844824,0.07082691465960961,0.40102350203810233,0.037940644134191265,-0.208087513458594,0.1417889983804081,-0.24410098657790447,0.10441003491275168,0.33984941785592043,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.42038808762806373,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12751787169975945,0.009537604440723981,-0.450951155063807,-0.39968021581464025,-0.12032449091136518,0.3182165555691406,0.8423312251389338,-1.0,0.009482923825788588,0.07325552971575815,-0.03284253770933779,-0.007910465848976556,-0.0077630354999838995,0.016558409233141856,-0.012536641696630137,-0.032434754770917305
1457,0.9,0.02,2.2,6.5,1,1.0,0.01,0.02,0.01,8.2,33.2,5.0,0.75,0.5,25.9,0.05,0.19,0.22,0.02,0.5,0.0005,0.5,0.15373867899236107,0.1528460805622776,0.12209969919601042,0.01577862426155437,-0.006457247912554011,-0.016094318247117094,-0.0010254600685360121,-0.02289344414670359,-0.029748926914517075,-0.0021521165138739693,2015,0.023635581418316242,0.003633703064468335,0.023361924343250257,0.003570778570258263,0.014908336543756229,0.001820303407505525,0.0002489649835873122,3.9283249303082494e-06,4.169605060418313e-05,-2.692417357256079e-07,0.00025902707983948626,-4.1688642575581e-06,1.0515683521618826e-06,-1.0783413544782256e-09,0.0005241097848982368,-1.1998678087308616e-05,0.0008849986525652784,-2.632776023461056e-05,4.631605489289047e-06,-9.967754659248284e-09,0.002911424662400372,0.11470115218972257,0.8138405465556516,1.0,1.0,1.0,1.0,1.0,1.0,0.11182707148041016,0.8128551296437986,1.0,1.0,1.0,1.0,0.7711224815348063,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.4273348585339951,0.7259120438409434,-0.5599934816175955,0.8802017117711851,-0.17439128285710787,-0.9142552635933334,-1.0,-1.0,1.0,0.6433068147411156,0.2978543211602177,0.933356263499207,0.13022746942459856,0.8650754782548181,-1.0,-1.0,-1.0,-0.5000521740565044,-0.7641055316214468,0.3545646866781297,-0.828143874035013,-0.004638026877471741,-0.025995264666310854,0.35635519217085976,-1.0,0.09509194639892726,-1.0,1.0,0.021663138924926356,0.011817077214604406,0.024080601154022108,-0.013228113235150774,-0.0052369695028169315,-0.012074411033801928,0.017407757488038834,-0.01901994988062169,-0.018517587738725236
1251,0.9,0.03,1.5,6.9,1,1.0,0.01,0.02,0.01,8.2,32.9,5.0,0.61,0.7,26.5,0.06,0.23,0.26,0.09,0.4,0.0005,0.7,0.30967158944377343,0.33553116472135003,0.34266400667260416,0.12085406783208365,0.08209617568443774,0.05834886513795437,0.06444127372976663,0.04806414941969023,-0.018391753659091244,-0.00430745399159536,2015,0.09589649330863297,0.029696419504968555,0.11258116249926572,0.0377744885790622,0.11741862146892251,0.04023513529051484,0.014605705711561875,0.0017651589488005505,0.006739782062010066,0.0005533103322376004,0.0034045900628871867,0.00019865396642942406,0.004152677759914711,0.000267603844238178,0.0023101624594383083,0.00011103599363420192,0.00033825660265669613,-6.221132109623065e-06,1.8554159889710798e-05,-7.99211900776333e-08,-0.040079765795541664,-0.050575834624460435,0.4385743762785918,0.5808936671572728,0.6829042276779395,0.6554982195312851,0.7312868455782955,1.0,1.0,-0.010517388286020047,0.47038572148394825,0.6068448219665459,0.7037226530179923,0.6777714285548583,0.7494017906484749,0.47853568402385405,0.6134469326720935,0.7089925573984127,0.6834171560433959,0.7539765247512036,0.19097238552705054,0.34879564557450565,0.30444798896083863,0.43091810697895006,0.16908614506733918,0.12048047802966438,0.26146236372352305,-0.04961643213365425,0.09664904016691349,0.14556742112173876,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.620475387697943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08528166067651304,0.00749760438530606,-0.43971792225947204,-0.22793360735791884,-0.31946494313293466,0.07787781415853831,0.09724682024485586,-0.32382457860074104,0.012606211091636047,0.09300368070696069,-0.0331228888146069,-0.005421784044110298,-0.015825239156566844,0.009630350798895125,-0.00816393416994781,-0.0370092279531907
1116,0.7,0.02,2.1,6.4,1,1.0,0.01,0.02,0.01,8.2,33.1,4.0,0.77,0.7,25.9,0.05,0.25,0.28,0.06,0.6,0.0005,0.5,0.17986256130157433,0.154302718941907,0.11034995021938497,0.020180726061165836,0.01759864687390587,0.006012765395215168,0.019043316719162998,0.0022239309339531846,-0.03580962989275627,-0.015064394663525271,2015,0.03235054095796258,0.005818651156190636,0.023809329072865145,0.003673844212125686,0.01217711151342074,0.0013437436493218783,0.00040726170435581794,8.21883689080827e-06,0.00030971237179243686,5.450518663654942e-06,3.615334769789701e-05,2.173815979590971e-07,0.00036264791166635294,6.906019039405405e-06,4.945868798993884e-06,1.0999270617356383e-08,0.0012823295930561832,-4.591974812787068e-05,0.00022693598657844868,-3.4186532651742247e-06,0.07648862365666406,0.23952313674515416,0.798236408457216,0.8217508437579673,0.9353032432860383,0.8085193166872865,0.9755728071132642,1.0,1.0,0.1660771790506111,0.768680334563426,0.7952471547810471,0.9249883388360525,0.780285523732462,0.9715839962624006,0.6907895272404594,0.7249106707895482,0.8966547770313339,0.7056521228696214,0.9604893975197684,0.06834626905262753,0.5408962256728554,0.02899775906254258,0.8014760114883543,0.49068989803048324,-0.03942664921839501,0.7756163748721457,-0.5200554206545478,0.45999443342893476,0.7908586037810752,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.40777656987370253,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.10162860403815599,-0.05209275240694369,-0.712571881990959,-0.043714725114480116,-1.0,0.2530854846077332,1.0,-1.0,0.002364027049417291,0.00969602842977444,-0.0230044872528722,0.004974166501247057,-0.012234130768229157,0.014333910378621952,-0.011380520462141639,-0.028312955113410247
1389,0.5,0.03,1.1,6.0,1,1.0,0.01,0.03,0.01,8.2,33.2,5.0,0.86,1.3,26.1,0.06,0.29,0.33,0.1,0.7,0.0005,0.6,0.2628994236461823,0.2591309779902553,0.1836588816322946,0.060031502231678,0.03614611932104338,0.029984624303145465,0.03503727953434101,0.015580763299927702,-0.02100124873190786,0.0015998923208988538,2015,0.06911610695349484,0.018170584682741683,0.06714886375418617,0.017400350735556673,0.0337305848024252,0.006194921481616685,0.0036037812601919603,0.000216340402763693,0.0013065419419711053,4.72264209324353e-05,0.0008990776946007817,2.6958506891942593e-05,0.0012276109571675517,4.3012148265699435e-05,0.00024276018500837398,3.7823889812621323e-06,0.0004410524482994615,-9.262652170553923e-06,2.559655438471121e-06,4.095173080156936e-09,0.007218824122338149,0.17744724726253325,0.628208403586696,0.7582567594060088,0.79524576696418,0.764800515275142,0.8881014590604049,1.0,0.9879024842461371,0.170446758700156,0.623818550413981,0.7551715344659055,0.7925769203371016,0.7617874897232144,0.8865664552468513,0.5073133270191946,0.6711073982459863,0.7193022631616391,0.6795802967236874,0.8435977608248801,0.2483465750662325,0.33379438868555017,0.262906731663525,0.5878773585109682,0.09317141589867443,0.015577224528925251,0.3975757861112257,-0.07770697154337379,0.3161140892444925,0.38437907009002603,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.9877276341003307,-0.9827280264598633,-0.9480819042790275,-0.9152285366689654,-0.898691353111866,-0.9126628918181611,-0.8137565461751705,-0.010159333662075783,-0.0951994315499403,-0.40530801734206584,-0.330057746664735,-0.19918479829204785,0.07493408442298743,0.7484987706902002,0.17886464035853178,0.028063225067600547,0.00416769394547023,-0.016807792899365723,-0.007860381348750604,-0.005663938703351979,0.010007583416302458,-0.01390009626121814,-0.028721069481362736
1319,0.5,0.02,0.6,6.0,1,1.0,0.01,0.04,0.01,8.2,33.2,3.0,0.86,1.8,26.3,0.07,0.24,0.28,0.04,1.5,0.0005,0.6,0.4791967880876232,0.5760448240168334,0.569063073295456,0.22494687090242524,0.14470812583701415,0.07653278243418525,0.08484552112280726,0.04529215084763001,-0.023143097180953212,-0.012130456437459115,2015,0.22962956171349447,0.11003774842307522,0.3318276392765846,0.19114759407100146,0.32383278138846955,0.18428127781073805,0.050601094728792366,0.011382557923479048,0.020940441683261122,0.0030302520701840064,0.005857266787118335,0.00044827292467750676,0.007198762454600732,0.0006107827518998983,0.0020513789284044718,9.291136387094495e-05,0.0005356029471270445,-1.2395511055766136e-05,0.0001471479733810933,-1.7849720809597457e-06,-0.09177806752338666,-0.08572901483536989,0.36107676883701256,0.536121217809502,0.7245682558791178,0.6991519262390884,0.8272903488124038,1.0,1.0,0.006097024339596685,0.43832908049040314,0.5984529071539486,0.7654446561523877,0.7432387331823402,0.854210669315117,0.43339029304055027,0.5945251755383381,0.7629080739755083,0.7404973054428551,0.8525538676396726,0.21706387245718578,0.492285588183729,0.45224270636125485,0.6647993279851283,0.3081498079878557,0.26077827778830537,0.5232412116661878,-0.051510881607986864,0.2564387333936551,0.3039348228402487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3122067275281741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1996553929591965,-0.004791015889781637,-0.389007235270203,-0.1886508452352461,-0.5222949586314654,0.05798166059583747,0.23820622540768666,-0.7919769903837973,0.06074790426452523,0.13345743052438586,-0.036824688716228016,-0.0010845645490164257,-0.04131391821055658,0.01905951595439701,-0.02884591356307524,-0.036148574498476506
1262,1.4,0.03,2.5,6.7,1,1.0,0.01,0.001,0.01,8.2,30.0,5.0,0.75,0.5,28.2,0.04,0.19,0.2,0.03,2.5,0.0005,0.5,0.1758014476878038,0.16109271045230067,0.14729419916612413,0.009665305103299777,-0.005125557240960639,0.007705423641877518,0.00708008660904578,-0.0036127806479855627,-0.038371279030255626,-0.0014376212866001306,2016,0.03090614900912762,0.005433345738259618,0.02595086136086878,0.0041804945951942315,0.02169558110798984,0.0031956332447450556,9.341812273987273e-05,9.029146584583767e-07,2.6271337030364035e-05,-1.3465524174569976e-07,5.9373553500804986e-05,4.574983828473824e-07,5.012762639158937e-05,3.5490793635834176e-07,1.3052184010458981e-05,-4.71546778069328e-08,0.0014723550544177351,-5.649614662467012e-05,2.0667549636858147e-06,-2.9712109299812072e-09,0.0436598168300271,0.08823160819176204,0.8957731781265823,1.0,0.9160203257126623,0.9225718809034759,1.0,1.0,1.0,0.04474415371018763,0.8867952983424938,1.0,0.9087025021546933,0.9157998590406619,1.0,0.8768433278597887,1.0,0.9005749368639143,0.9082737572064666,1.0,1.0,0.11282666894250994,0.1543838769891565,1.0,-1.0,-1.0,0.17311948933546092,0.042293909524880116,1.0,1.0,-1.0,-1.0,1.0,0.7643250553212102,1.0,1.0,0.8278975079745355,0.9277738759344015,-1.0,-1.0,-1.0,-0.5619130942231345,-1.0,-1.0,-0.43069034693847,-0.07650022231639986,-0.005620646457695091,0.49550666056743925,1.0,-1.0,0.04141147038256674,-1.0,0.360460458663811,-0.0032571074874779716,0.046772450853423825,-0.02725596700941814,-0.013745592231501878,0.00735408941168143,0.0032681252428811616,-0.006186202223872074,-0.03598151251376602
785,1.9,0.03,6.1,7.1,6,21.0,0.03,0.01,0.01,8.2,28.7,3.0,0.84,1.1,28.2,0.07,0.14,0.18,0.04,2.6,0.0005,0.9,0.18925365372663233,0.18909647423544143,0.21562817810094226,0.01729331954192804,-0.004718039032290583,0.010209674606120633,0.026405097086885466,0.007122209296075797,-0.03986150118263003,0.010823134017038265,2016,0.035816945448880054,0.006778487791528025,0.035757476568274965,0.0067616127466172075,0.046495511191131676,0.010025742368015693,0.0002990589007792302,5.1717211330329795e-06,2.225989231021746e-05,-1.0502304077419096e-07,0.0001042374555628645,1.0642305030668056e-06,0.0006972291521678474,1.8410403454798848e-05,5.0725865257108495e-05,3.612802290856664e-07,0.0015889392765328152,-6.333750485064011e-05,0.00011714022995077085,1.2678244075438725e-06,0.00041543395805764504,-0.06514128889226607,0.8325483131680406,1.0,0.8976285546675685,0.7551214871895627,0.9274634959057855,1.0,0.8918101980835039,-0.0655549488086266,0.8324207876230337,1.0,0.897547821123805,0.7549428811598667,0.9274053910882365,0.851509459479406,1.0,0.9095840269136483,0.7818060589694205,0.936052104067666,1.0,0.2575590460324476,-0.20851505038169685,0.4165836551539472,-1.0,-1.0,-1.0,-0.4423193627029598,0.17813789473016084,0.57513978518147,-1.0,-1.0,1.0,0.7883316422939926,1.0,1.0,1.0,1.0,-0.8917251378026945,-0.9044109401194421,-0.23012096853966277,1.0,0.029166785183513774,-0.4185523353594126,0.2062331523219126,-0.0009470516998614557,0.011252643572218526,0.2509439330999238,1.0,-1.0,0.4278655734479386,1.0,1.0,-0.010752073897964974,0.09525296574290619,-0.03877380477288009,-0.018233414608454672,0.0009622038413450388,0.017257510547420255,-0.01271231819213945,-0.049064607774643214
