,Date,BOD,AmNi,Chla,DO,Ecoli,FC,NitraNi,NitriNi,OrPh,pH,Sal,SDD,Si,SS,Temp,TIN,TKN,ToNi,ToPh,Tur,UnAm,VSS,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,Image_Year
54,2015-11-22,0.8,0.03,1.8,6.4,1,1.0,0.01,0.03,0.01,8.2,33.0,5.0,0.81,0.9,26.3,0.06,0.27,0.31,0.07,0.4,0.0005,0.5,0.0241033200687466,0.0240120185787359,0.021880155550802,0.0073608384017397,0.0050577646547519,0.0037752886297933,0.0045555266928049,0.0023651526101175,-0.0030048508548874,-0.0009284089280315,2015
55,2015-11-22,2.0,0.03,11.0,9.0,2,6.0,0.08,0.03,0.01,8.3,32.0,2.5,0.8,2.6,26.8,0.14,0.5,0.6,0.09,1.3,0.0005,1.6,0.0177905271418037,0.0178952832669411,0.0238302314093934,0.0089181847001797,0.0076142900823836,0.006212168020824,0.0070954329659997,0.0043569901457989,-0.0025214360056115,-0.0011663976549822,2015
56,2015-11-22,1.0,0.03,6.2,6.5,3,4.0,0.01,0.01,0.01,8.0,33.2,2.5,0.66,1.6,25.9,0.05,0.26,0.28,0.05,1.4,0.0005,0.7,0.0181706325013645,0.0203857407041201,0.0213241952877618,0.0044179947342848,0.0025129354452021,0.0023292209139378,0.0038335624012382,0.0018888155766883,-0.0031362590084135,-0.0012798002865511,2015
57,2015-11-22,0.9,0.02,2.2,6.5,1,1.0,0.01,0.02,0.01,8.2,33.2,5.0,0.75,0.5,25.9,0.05,0.19,0.22,0.02,0.5,0.0005,0.5,0.0153738678992361,0.0152846080562277,0.012209969919601,0.0015778624261554,-0.0006457247912554,-0.0016094318247117,-0.0001025460068536,-0.0022893444146703,-0.0029748926914517,-0.0002152116513873,2015
58,2015-11-22,0.9,0.03,1.5,6.9,1,1.0,0.01,0.02,0.01,8.2,32.9,5.0,0.61,0.7,26.5,0.06,0.23,0.26,0.09,0.4,0.0005,0.7,0.0309671589443773,0.033553116472135,0.0342664006672604,0.0120854067832083,0.0082096175684437,0.0058348865137954,0.0064441273729766,0.004806414941969,-0.0018391753659091,-0.0004307453991595,2015
59,2015-11-22,0.7,0.02,2.1,6.4,1,1.0,0.01,0.02,0.01,8.2,33.1,4.0,0.77,0.7,25.9,0.05,0.25,0.28,0.06,0.6,0.0005,0.5,0.0179862561301574,0.0154302718941907,0.0110349950219384,0.0020180726061165,0.0017598646873905,0.0006012765395215,0.0019043316719163,0.0002223930933953,-0.0035809629892756,-0.0015064394663525,2015
60,2015-11-22,0.5,0.03,1.1,6.0,1,1.0,0.01,0.03,0.01,8.2,33.2,5.0,0.86,1.3,26.1,0.06,0.29,0.33,0.1,0.7,0.0005,0.6,0.0262899423646182,0.0259130977990255,0.0183658881632294,0.0060031502231678,0.0036146119321043,0.0029984624303145,0.0035037279534341,0.0015580763299927,-0.0021001248731907,0.0001599892320898,2015
61,2015-11-22,0.5,0.02,0.6,6.0,1,1.0,0.01,0.04,0.01,8.2,33.2,3.0,0.86,1.8,26.3,0.07,0.24,0.28,0.04,1.5,0.0005,0.6,0.0479196788087623,0.0576044824016833,0.0569063073295456,0.0224946870902425,0.0144708125837014,0.0076532782434185,0.0084845521122807,0.004529215084763,-0.0023143097180953,-0.0012130456437459,2015
459,2016-10-27,1.4,0.03,2.5,6.7,1,1.0,0.01,0.001,0.01,8.2,30.0,5.0,0.75,0.5,28.2,0.04,0.19,0.2,0.03,2.5,0.0005,0.5,0.0175801447687803,0.01610927104523,0.0147294199166124,0.0009665305103299,-0.000512555724096,0.0007705423641877,0.0007080086609045,-0.0003612780647985,-0.0038371279030255,-0.00014376212866,2016
460,2016-10-27,1.9,0.03,6.1,7.1,6,21.0,0.03,0.01,0.01,8.2,28.7,3.0,0.84,1.1,28.2,0.07,0.14,0.18,0.04,2.6,0.0005,0.9,0.0189253653726632,0.0189096474235441,0.0215628178100942,0.0017293319541928,-0.000471803903229,0.001020967460612,0.0026405097086885,0.0007122209296075,-0.003986150118263,0.0010823134017038,2016
461,2016-10-27,1.4,0.02,2.2,6.2,1,1.0,0.01,0.01,0.01,8.2,29.9,4.0,0.76,0.6,28.0,0.03,0.15,0.16,0.03,2.2,0.0005,0.6,0.0163899785786046,0.0171125386025865,0.0150581630431774,-0.0017472915730014,-0.0027697559954565,-0.0038717242766785,-0.0019885257330603,-0.0038130472419142,-0.0047871148836903,-0.0011447276694856,2016
462,2016-10-27,0.7,0.02,1.1,6.7,1,1.0,0.001,0.001,0.01,8.2,30.1,4.5,0.81,0.7,28.4,0.03,0.54,0.54,0.06,3.6,0.0005,0.6,0.0126947462217455,0.0104666921670827,0.0055875930271004,-0.003775509886616,-0.0045037765463055,-0.0033887282213583,-0.00251662125805,-0.0030553506187194,-0.0046818870275653,-0.0002343774032348,2016
463,2016-10-27,0.3,0.03,1.2,6.0,1,1.0,0.001,0.001,0.01,8.2,30.8,7.0,0.74,0.5,27.7,0.03,0.2,0.21,0.03,2.1,0.0005,0.5,0.0287862461833522,0.0164488881285981,0.0138963078655015,0.0084152172450954,0.0078107540898992,0.0081493596043671,0.0094234455474282,0.0088874369302967,0.004873490558065,0.0036295941709828,2016
464,2016-10-27,0.6,0.01,2.4,6.1,1,1.0,0.001,0.001,0.01,8.0,30.4,4.5,0.99,0.9,27.3,0.02,0.24,0.24,0.04,2.6,0.0005,0.6,0.0171095332748972,0.0152799019223732,0.0091661960472296,-0.002075701297857,-0.0028126706273679,-0.0004983150104172,0.0016722878426687,-0.0003734253395733,-0.0040573636365907,-0.0005566532636454,2016
714,2017-02-04,0.4,0.1,1.1,7.1,2,4.0,0.17,0.03,0.02,7.6,31.1,2.5,1.1,2.6,18.5,0.3,0.26,0.46,0.04,4.4,0.0005,0.6,0.0284175577444007,0.0352059587570674,0.0343145508737221,0.0026647551931971,-0.0013642938406387,-0.0053617785687192,-0.0039497305083439,-0.0050057843384372,-0.00496874297796,-0.0011206811018166,2017
